Name,Mastodon profile,Web,Country,Language,Other links,Information,Mastodon profile creation date,Keywords,CATEGORY_EN,CATEGORY_ES,FILEPATH,FILENAME
Ecopixeladas,https://social.politicaconciencia.org/@ecopixeladas,https://ecopixeladas.com/,Spain,Spanish,-,-,20/02/2021,-,Scientific dissemination,Divulgación científica,spain/SCIENTIFIC_DISSEMINATION.csv,SCIENTIFIC_DISSEMINATION
El Mundo Today,https://mastodon.social/@elmundotoday,https://www.elmundotoday.com/,Spain,Spanish,-,Humor / Sátira,28/10/2022,-,Media,Medios de comunicación,spain/MEDIA.csv,MEDIA
El Salto Diario,https://mastodon.social/@ElSaltoDiario,https://www.elsaltodiario.com/,Spain,Spanish,https://t.me/elsaltodiario,-,02/09/2021,-,Media,Medios de comunicación,spain/MEDIA.csv,MEDIA
elDiario.es,https://mastodon.world/@eldiarioes,https://www.eldiario.es/,Spain,Spanish,-,-,21/11/2022,-,Media,Medios de comunicación,spain/MEDIA.csv,MEDIA
Electomanía,https://masto.ai/@electomania,https://electomania.es/,Spain,Spanish,http://t.me/electomania,Demoscopia,18/11/2022,-,Media,Medios de comunicación,spain/MEDIA.csv,MEDIA
Electronic Frontier Foundation,https://mastodon.social/@eff,https://www.eff.org/,Global,English,-,-,04/04/2017,-,Foundations,Fundaciones,global/FOUNDATIONS.csv,FOUNDATIONS
Elena de Sus,https://mastodon.world/@elenadesus,https://ctxt.es/user/profile/elenadesus,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
Emilio Doménech,https://mastodon.online/@nanisimo,https://es.wikipedia.org/wiki/Emilio_Dom%C3%A9nech,Spain,Spanish,-,Nanisimo,04/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
EU Research Executive Agency,https://social.network.europa.eu/@EC_REA,https://rea.ec.europa.eu/index_en,European Union,Multi,-,-,25/11/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
EU Watch,https://eupolicy.social/@euwatch,https://www.euwatch.be/,European Union,Multi,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,european_union/NPO_NGO.csv,NPO_NGO
EUobserver,https://eupolicy.social/@euobserver,https://euobserver.com/,European Union,English,-,-,01/11/2022,-,Media,Medios de comunicación,european_union/MEDIA.csv,MEDIA
EURACTIV,https://masto.ai/@euractiv,https://www.euractiv.com/,European Union,Multi,-,-,07/11/2022,-,Media,Medios de comunicación,european_union/MEDIA.csv,MEDIA
European Center for Not-for-Profit Law,https://eupolicy.social/@ecnl,https://www.ecnl.org/,European Union,English,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,european_union/NPO_NGO.csv,NPO_NGO
European Commission,https://social.network.europa.eu/@EU_Commission,https://ec.europa.eu/,European Union,Multi,-,-,01/04/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Data Protection Supervisor,https://social.network.europa.eu/@EDPS,https://edps.europa.eu/,European Union,Multi,-,-,01/02/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Digital Rights (EDRi),https://eupolicy.social/@edri,https://edri.org/,European Union,English,-,-,01/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,european_union/NPO_NGO.csv,NPO_NGO
European Investment Bank,https://social.network.europa.eu/@eib,https://www.eib.org/,European Union,Multi,-,-,01/11/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Labour Authority,https://social.network.europa.eu/@ELA,https://www.ela.europa.eu/,European Union,Multi,-,-,01/06/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Mathematical Society ,https://mathstodon.xyz/@EuroMathSoc,euromathsoc.org/,European Union,English,-,-,11/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas",european_union/SCI_INSTITUTES_JOURNALS_SOCIETIES.csv,SCI_INSTITUTES_JOURNALS_SOCIETIES
European Ombudsman,https://social.network.europa.eu/@ombudsman,https://www.ombudsman.europa.eu/,European Union,Multi,-,-,01/03/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Union Agency for Fundamental Rights,https://social.network.europa.eu/@FRA,https://fra.europa.eu/,European Union,Multi,-,-,01/03/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",https://social.network.europa.eu/@EULISA,https://eulisa.europa.eu/,European Union,English,-,-,01/09/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Union Agency for the Space Programme,https://social.network.europa.eu/@EUSPA,https://www.euspa.europa.eu/,European Union,English,-,-,01/03/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Union External Action,https://social.network.europa.eu/@EEAS,https://www.eeas.europa.eu/,European Union,Multi,-,The Diplomatic Service of the European Union,01/11/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Union Intellectual Property Office,https://social.network.europa.eu/@EUIPO,https://euipo.europa.eu/,European Union,Multi,-,-,01/05/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
European Union Sanctions,https://social.network.europa.eu/@EC_Sanctions,https://finance.ec.europa.eu/eu-and-world/sanctions-restrictive-measures_en,European Union,English,-,-,01/11/2022,-,Institutions,Instituciones,european_union/INSTITUTIONS.csv,INSTITUTIONS
Extinction Rebellion DE,https://social.rebellion.global/@xrgermany,https://extinctionrebellion.de/,Germany,German,https://rebellion.global/,-,05/09/2019,,Social movements,Movimientos sociales,germany/SOCIAL_MOVEMENTS.csv,SOCIAL_MOVEMENTS
F-Droid,https://floss.social/@fdroidorg,https://f-droid.org/,Global,Multi,https://gitlab.com/fdroid,-,15/10/2022,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
FAU Erlangen-Nürnberg,https://mastodon.social/@FAU,https://www.fau.de/,Germany,German,-,-,24/05/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Fedilab,https://framapiaf.org/@fedilab,https://fedilab.app/,Global,Multi,-,Android App,21/04/2019,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
Fernando Hernández Valls,https://masto.ai/@fernandohvalls,https://www.linkedin.com/in/fernando-h-valls-283452111/,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
FernUniversität in Hagen,https://bildung.social/@fernunihagen,https://www.fernuni-hagen.de/,Germany,German,-,-,28/10/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Fight for the Future,https://mastodon.fightforthefuture.org/@team,https://www.fightforthefuture.org/,Global,English,-,-,02/11/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,global/NPO_NGO.csv,NPO_NGO
FITKO,https://social.bund.de/@FITKOfoederal,https://www.fitko.de/,Germany,German,-,-,01/08/2021,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
FIZ ISE Research Group ,https://sigmoid.social/@fizise,https://www.fiz-karlsruhe.de/en/forschung/information-service-engineering,Germany,English,-,-,27/11/2022	,-,Scientific research groups,Grupos de investigación científica,germany/SCI_RESEARCH_GROUPS.csv,SCI_RESEARCH_GROUPS
Foreign Policy,https://mastodon.world/@foreignpolicy,https://foreignpolicy.com/,USA,English,https://www.linkedin.com/company/foreign-policy-magazine/,-,18/11/2022,-,Media,Medios de comunicación,united_states_of_america/MEDIA.csv,MEDIA
Forschungszentrum DZNE,https://social.bund.de/@dzne,https://www.dzne.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Fraunhofer FOKUS,https://social.bund.de/@FraunhoferFOKUS,https://www.fokus.fraunhofer.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Free Software Foundation,https://hostux.social/@fsf,https://www.fsf.org/,Global,Multi,-,-,16/12/2019,-,Foundations,Fundaciones,global/FOUNDATIONS.csv,FOUNDATIONS
FreeCAD,https://fosstodon.org/@FreeCAD,https://www.freecad.org/,Global,English,-,-,30/12/2018,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
Funkwhale,https://fosstodon.org/@funkwhale,https://funkwhale.audio/,Global,Multi,-,-,20/11/2021,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
Für Menschenrechte,https://social.bund.de/@DIMR_Berlin,https://www.institut-fuer-menschenrechte.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
GEOMAR,https://social.bund.de/@geomar_de,https://www.geomar.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Geopolitics Journal ,https://mastodon.social/@Geopolitics,https://www.tandfonline.com/toc/fgeo20/current,Global,English,-,-,13/11/2022	,-,"Scientific institutes, societies and journals","Institutos, sociedades y revistas científicas",global/SCI_INSTITUTES_JOURNALS_SOCIETIES.csv,SCI_INSTITUTES_JOURNALS_SOCIETIES
Gerardo Tecé,https://mastodon.world/@gerardotc,https://es.wikipedia.org/wiki/Gerardo_Tec%C3%A9,Spain,Spanish,-,-,18/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
German Embassy London,https://social.bund.de/@germanyinuk,https://uk.diplo.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
GIGA Institute,https://social.bund.de/@GIGA_Institute,https://www.giga-hamburg.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
GIMP,https://floss.social/@GIMP,https://gimp.org/,Global,English,-,-,11/10/2022,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
GNOME,https://floss.social/@gnome,https://www.gnome.org/,Global,English,-,-,09/07/2018,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
Gonzalo Torné,https://mastodon.social/@GonzaloTorne,https://es.wikipedia.org/wiki/Gonzalo_Torn%C3%A9,Spain,Spanish,-,-,03/10/2018,-,Writers,Escritorxs,spain/WRITERS.csv,WRITERS
GRS,https://social.bund.de/@GRS,https://www.grs.de/,Germany,German,-,-,01/11/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
GTK,https://floss.social/@GTK,https://www.gtk.org/,Global,English,-,-,10/11/2022,-,Software,Software,global/SOFTWARE.csv,SOFTWARE
Guillem Martínez,https://sociale.network/@Guillemmartnez,https://es.wikipedia.org/wiki/Guillem_Mart%C3%ADnez,Spain,Spanish,-,-,08/11/2022,-,Journalists,Periodistas,spain/JOURNALISTS.csv,JOURNALISTS
Guillermo Zapata,https://mas.to/@GZapata,https://biblioghizan.com/,Spain,Spanish,-,-,09/11/2022,-,Writers,Escritorxs,spain/WRITERS.csv,WRITERS
HafenCity Universität (HCU),https://mastodon.social/@HCUHamburg,https://www.hcu-hamburg.de/,Germany,German,-,-,13/10/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
HCIL at University of Maryland,https://hci.social/@hcil_umd,https://hcil.umd.edu/,USA,English,https://www.youtube.com/@HCILUMD,-,05/11/2022,-,Universities,Universidades,united_states_of_america/UNIVERSITIES.csv,UNIVERSITIES
Heinrich-Heine-Universität,https://nrw.social/@HHU,https://www.hhu.de/,Germany,German,-,-,10/11/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hessischer Landtag,https://social.bund.de/@HessischerLandtag,https://hessischer-landtag.de/,Germany,German,-,-,01/05/2022,-,Institutions,Instituciones,germany/INSTITUTIONS.csv,INSTITUTIONS
Hochschule Anhalt,https://mastodon.social/@hsanhalt,https://www.hs-anhalt.de/,Germany,German,-,-,17/11/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule der Medien,https://bonn.social/@hdmstuttgart@baw%C3%BC.social,https://www.hdm-stuttgart.de/,Germany,German,-,-,26/07/2021,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule für Gestaltung,https://bonn.social/@hfg_gmuend@baw%C3%BC.social,https://www.hfg-gmuend.de/,Germany,German,-,-,19/05/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule für Wirtschaft und Umwelt,https://bonn.social/@HfWU@baw%C3%BC.social,https://www.hfwu.de/,Germany,German,-,-,14/11/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule Kehl,https://mastodon.social/@hochschule_kehl,https://www.hs-kehl.de/,Germany,German,-,-,20/05/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule Ravensburg-Weingarten,https://mastodon.online/@rwu,https://www.rwu.de/,Germany,German,-,-,02/12/2020,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
Hochschule Reutlingen,https://bonn.social/@Hochschule_Reutlingen@baw%C3%BC.social,https://www.reutlingen-university.de/home/,Germany,German,-,-,17/05/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
HTW Berlin,https://wisskomm.social/@HTW_Berlin,https://www.htw-berlin.de/,Germany,German,-,-,22/11/2022,-,Universities,Universidades,germany/UNIVERSITIES.csv,UNIVERSITIES
IFEX,https://mastodon.social/@ifex,https://ifex.org/,Global,Multi,-,-,27/07/2022,-,Non profit organizations / Non Governmental Organizations,Organizaciones sin ánimo de lucro / Organizaciones no gubernamentales,global/NPO_NGO.csv,NPO_NGO
